"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"84",1.1,2,1,3,3,2,2,2,2,2,0,5
"84",1.2,2,1,2,3,2,2,2,1,2,0,7
"84",1.3,1,1,1,1,7,4,4,2,5,1,3
"84",1.4,3,4,4,3,2,3,1,1,2,0,5
"84",1.5,2,1,2,4,2,2,1,1,2,0,45
"84",2.1,2,2,2,3,2,2,2,1,2,0,5
"84",2.2,3,3,3,2,2,2,1,1,2,0,3
"84",2.3,2,1,1,2,3,2,2,1,2,0,5
"84",2.4,1,1,1,4,3,2,3,2,2,1,6
"84",2.5,1,1,2,1,3,3,2,2,3,0,1
"84",3.1,2,3,2,4,3,3,2,1,2,1,3
"84",3.2,2,2,2,3,2,2,2,1,2,1,7
"84",3.3,2,1,1,2,4,3,2,1,2,1,1
"84",3.4,2,1,2,3,2,2,1,1,2,0,30
"84",3.5,2,1,1,3,2,2,2,1,2,0,30
"84",4.1,2,3,3,2,4,2,2,1,2,0,25
"84",4.2,2,1,2,3,3,2,2,1,2,0,5
"84",4.3,2,1,3,2,4,2,4,2,3,1,1
"84",4.4,2,1,2,3,2,2,2,2,2,0,5
"84",4.5,1,1,3,2,2,2,2,1,2,0,1
"84",5.1,2,2,2,3,3,2,2,2,2,0,1
"84",5.2,1.75,1.75,2.25,2.25,2.75,2,2.25,1.75,2.25,0,10.5
"84",5.3,2,2,2,2,3,2,3,2,3,0,5
"84",5.4,2,2,2,2,3,2,2,2,2,0,35
"84",5.5,2,1,2,3,3,2,2,2,2,0,1
"84",6.1,2,2,2,2,3,2,3,2,2,0,5
"84",6.2,2,1.75,2,2.25,3.25,2,2.25,1.75,2.5,0,6.75
"84",6.3,2,2,2,2,4,2,2,1,3,0,20
"84",6.4,2,2,2,2,3,2,2,2,3,0,1
"84",6.5,2,2,2,2,4,2,3,2,4,0,5
"84",7.1,2,2,2,2,3,3,3,2,2,0,1
"84",7.2,2,2,2,3,3,2,2,2,2,0,1
"84",7.3,2,2,2,3,3,2,2,2,3,0,1
"84",7.4,2,2,2,3,3,2,2,2,2,0,20
"84",7.5,2,2,2,3,2,2,2,2,2,0,25
"84",8.1,2,2,2,2,4,2,2,2,3,1,20
"84",8.2,2,2,2,2,3,2,2,2,3,0,1
"84",8.3,2,2,2,2,3,3,2,2,3,0,1
"84",8.4,2,2,2,3,3,2,2,2,2,0,1
"84",8.5,2,2,2,3,4,2,2,2,2,0,20
"84",9.1,2,2,2,2,3,2,2,2,3,1,1
"84",9.2,2,2,2,2,3,3,2,2,2,1,1
"84",9.3,2,2,2,3,2,3,2,2,2,0,25
"84",9.4,2,2.25,2,2.25,2.75,2.5,2.25,2,2,0.25,7
"84",9.5,2,2,2,2,3,2,2,2,2,0,1
"84",10.1,2,3,2,2,3,2,3,2,2,0,1
"84",10.2,2,2,2,3,2,2,2,2,3,0,35
"84",10.3,2,2,3,3,2,2,2,2,2,1,35
"84",10.4,2,2,3,3,3,2,2,2,2,0,30
"84",10.5,2,2,2,4,2,2,2,2,2,0,35
"84",11.1,2,2,2,3,3,2,2,2,2,1,20
"84",11.2,2,2,2,3,3,2,2,2,2,0,30
"84",11.3,2,2,2,3,2.66666666666667,2,2,2,2,0.333333333333333,25
"84",11.4,2,2,2,3,2.66666666666667,2,2,2,2,0,26.6666666666667
"84",11.5,2,2,2,3,2,2,2,2,2,0,25
"84",12.1,2,2,2,3,3,2,2,2,2,0,25
"84",12.2,2,2,2,2,3,2,2,2,2,0,20
"84",12.3,2,2,2,3,3,2,2,2,2,0,30
"84",12.4,2,2,2,2.75,2.75,2,2,2,2,0.25,27.5
"84",12.5,2,2,2,3,2,2,2,2,2,1,35
"84",13.1,2,2,2,3,3,2,2,2,2,0,25
"84",13.2,2,2,2,3,3,2,2,2,2,0,20
"84",13.3,2,2,2,2,2,2,2,2,2,0,1
"84",13.4,2,2,2,2.75,3,2,2,2,2,0,20.25
"84",13.5,2,2,2,3,3,2,2,2,2,0,25
"84",14.1,2,2,2,3,4,2,2,2,2,0,35
"84",14.2,2,2,2,2,3,2,2,2,2,0,60
"84",14.3,2,2,2,2.75,3,2,2,2,2,0,30.25
"84",14.4,2,2,2,3,2,2,2,2,2,0,1
"84",14.5,2,2,2,3,3,2,2,2,2,0,25
